id,estructura,codigo_material,descripcion,cantidad,unidad,precio_unitario,subtotal
1,ESTRUCTURA PR-101,1004132,CABLE ACERO COBREADO DESNUDO #2 AWG 7 HI,12.0,MTS,185.16,2221.92
2,ESTRUCTURA PR-101,1006451,CONECTOR CUÑA PRESION P.T. AWG 2/0 - # 2,1.0,UND,156.0,156.0
3,ESTRUCTURA PR-101,1006849,PICA PUESTA A TIERRA 5/8' X 8',1.0,UND,777.0,777.0
4,ESTRUCTURA PR-202,1006250,"Aran Plan Cua Ac Galv 21/4""X21/4"" D 5/8""",1.0,UND,27.5,27.5
5,ESTRUCTURA PR-202,1006262,"Arandela Presion Acero Galv P/Torn 1/2""",1.0,UND,3.5,3.5
6,ESTRUCTURA PR-202,1006264,"Arandela Presion Acero Galv P/Torn 5/8""",1.0,UND,6.0,6.0
7,ESTRUCTURA PR-202,1006265,"Arandela Presion Acero Galv P/Torn 3/8""",2.0,UND,3.5,7.0
8,ESTRUCTURA PR-202,1006506,"Cruceta Acero Galv 5'-7"" 3"" X 3""",1.0,UND,1900.0,1900.0
9,ESTRUCTURA PR-202,1006601,"Fleje Galv 1-1/4"" X 1/4"" X 28'Orif 9/16""",2.0,UND,186.88,373.76
10,ESTRUCTURA PR-202,1006696,Grapa Conexion Doble S/Tor,1.0,UND,72.0,72.0
11,ESTRUCTURA PR-202,1006922,"Soporte En Cruceta Dob Und Ac Galv ¼""",3.0,UND,219.7,659.1
12,ESTRUCTURA PR-202,1007052,"Tornillo Hex Pas Ac Galv 3/8"" X 2""",2.0,UND,15.6,31.2
13,ESTRUCTURA PR-202,1007057,"Tornillo Hex Pas Ac Galv 5/8"" X 12""",1.0,UND,93.5,93.5
14,ESTRUCTURA PR-202,1007085,Tubo Y Base Cortacircuito 15Kv 100 Amps,3.0,UND,2800.0,8400.0
15,ESTRUCTURA PR-202,1007094,"Tuerca Cab Hex Ac Galv P/Tornillo 5/8""",1.0,UND,15.0,15.0
16,ESTRUCTURA PR-202,1007200,"Tornillo Maquina 1/2"" X 2""",3.0,UND,25.74,77.22
17,ESTRUCTURA PR-202,1007276,Pararrayo 10 Kv Oxido Metalico,3.0,UND,1794.0,5382.0
18,ESTRUCTURA PR-202,1007279,"Arandela Cuadrada 2""X2"" P/Tornillo 1/2""",1.0,UND,26.91,26.91
19,ESTRUCTURA PR-202,1008251,"Tornillo Maquina Ac Galv 1/2"" X 12""",1.0,UND,75.25,75.25
20,ESTRUCTURA MT-301,1005947,Alambre Ligaduraaluminio,3.0,MTS,36.0,108.0
21,ESTRUCTURA MT-301,1006241,Aislador Porc.Tipo Line Post Ansi 57-1,3.0,UND,775.0,2325.0
22,ESTRUCTURA MT-301,1006250,"Aran Plan Cua Ac Galv 21/4""X21/4"" D 5/8""",3.0,UND,27.5,82.5
23,ESTRUCTURA MT-301,1006262,"Arandela Presion Acero Galv P/Torn 1/2""",1.0,UND,3.5,3.5
24,ESTRUCTURA MT-301,1006264,"Arandela Presion Acero Galv P/Torn 5/8""",3.0,UND,6.0,18.0
25,ESTRUCTURA MT-301,1006265,"Arandela Presion Acero Galv P/Torn 3/8""",2.0,UND,3.5,7.0
26,ESTRUCTURA MT-301,1006506,"Cruceta Acero Galv 5'-7"" 3"" X 3""",1.0,UND,1900.0,1900.0
27,ESTRUCTURA MT-301,1006601,"Fleje Galv 1-1/4"" X 1/4"" X 28'Orif 9/16""",2.0,UND,186.88,373.76
28,ESTRUCTURA MT-301,1006940,Soporte De Acero Para Aislador Rigido En Cabeza De Poste,1.0,UND,858.0,858.0
29,ESTRUCTURA MT-301,1007052,"Tornillo Hex Pas Ac Galv 3/8"" X 2""",2.0,UND,15.6,31.2
30,ESTRUCTURA MT-301,1007057,"Tornillo Hex Pas Ac Galv 5/8"" X 12""",3.0,UND,93.5,280.5
31,ESTRUCTURA MT-301,1007279,"Arandela Cuadrada 2""X2"" P/Tornillo 1/2""",1.0,UND,26.91,26.91
32,ESTRUCTURA MT-301,1008251,"Tornillo Maquina Ac Galv 1/2"" X 12""",1.0,UND,75.25,75.25
33,ESTRUCTURA MT-302,1005947,Alambre Ligaduraaluminio,6.0,MTS,36.0,216.0
34,ESTRUCTURA MT-302,1006241,Aislador Porc.Tipo Line Post Ansi 57-1,6.0,UND,775.0,4650.0
35,ESTRUCTURA MT-302,1006262,"Arandela Presion Acero Galv P/Torn 1/2""",1.0,UND,3.5,3.5
36,ESTRUCTURA MT-302,1006264,"Arandela Presion Acero Galv P/Torn 5/8""",10.0,UND,6.0,60.0
37,ESTRUCTURA MT-302,1006265,"Arandela Presion Acero Galv P/Torn 3/8""",4.0,UND,3.5,14.0
38,ESTRUCTURA MT-302,1006508,"Cruceta Acero Galv 8'-0""3"" X 3""",2.0,UND,2900.0,5800.0
39,ESTRUCTURA MT-302,1006601,"Fleje Galv 1-1/4"" X 1/4"" X 28'Orif 9/16""",4.0,UND,186.88,747.52
40,ESTRUCTURA MT-302,1006840,"Perno Rosca Corrida Ac Galv 5/8"" X12""",3.0,UND,140.5,421.5
41,ESTRUCTURA MT-302,1007052,"Tornillo Hex Pas Ac Galv 3/8"" X 2""",4.0,UND,15.6,62.4
42,ESTRUCTURA MT-302,1008251,"Tornillo Maquina Ac Galv 1/2"" X 12""",1.0,UND,75.25,75.25
43,ESTRUCTURA MT-307,1006230,Aislador Composite T/Suspension 13.2Kv,3.0,UND,515.0,1545.0
44,ESTRUCTURA MT-307,1006262,"Arandela Presion Acero Galv P/Torn 1/2""",1.0,UND,3.5,3.5
45,ESTRUCTURA MT-307,1006264,"Arandela Presion Acero Galv P/Torn 5/8""",12.0,UND,6.0,72.0
46,ESTRUCTURA MT-307,1006265,"Arandela Presion Acero Galv P/Torn 3/8""",4.0,UND,3.5,14.0
47,ESTRUCTURA MT-307,1006508,"Cruceta Acero Galv 8'-0""3"" X 3""",2.0,UND,2900.0,5800.0
48,ESTRUCTURA MT-307,1006601,"Fleje Galv 1-1/4"" X 1/4"" X 28'Orif 9/16""",4.0,UND,186.88,747.52
49,ESTRUCTURA MT-307,1006694,Grapa Retencion 2/0 Awg A 4/0 Awg,3.0,UND,510.0,1530.0
50,ESTRUCTURA MT-307,1006840,"Perno Rosca Corrida Ac Galv 5/8"" X12""",3.0,UND,140.5,421.5
51,ESTRUCTURA MT-307,1007052,"Tornillo Hex Pas Ac Galv 3/8"" X 2""",4.0,UND,15.6,62.4
52,ESTRUCTURA MT-307,1007099,"Tuerca D/Ojo Ac Galv P/Tornillo 5/8""",4.0,UND,94.0,376.0
53,ESTRUCTURA MT-307,1007225,"Abrazadera Perno P/Tornillo 5/8""",1.0,UND,188.5,188.5
54,ESTRUCTURA MT-307,1008251,"Tornillo Maquina Ac Galv 1/2"" X 12""",1.0,UND,75.25,75.25
55,ESTRUCTURA MT-301 + MT-307 = MT,1005947,Alambre Ligaduraaluminio,3.0,MTS,36.0,108.0
56,ESTRUCTURA MT-301 + MT-307 = MT,1006230,Aislador Composite T/Suspension 13.2Kv,3.0,UND,515.0,1545.0
57,ESTRUCTURA MT-301 + MT-307 = MT,1006241,Aislador Porc.Tipo Line Post Ansi 57-1,4.0,UND,775.0,3100.0
58,ESTRUCTURA MT-301 + MT-307 = MT,1006250,"Aran Plan Cua Ac Galv 21/4""X21/4"" D 5/8""",1.0,UND,27.5,27.5
59,ESTRUCTURA MT-301 + MT-307 = MT,1006262,"Arandela Presion Acero Galv P/Torn 1/2""",2.0,UND,3.5,7.0
60,ESTRUCTURA MT-301 + MT-307 = MT,1006264,"Arandela Presion Acero Galv P/Torn 5/8""",13.0,UND,6.0,78.0
61,ESTRUCTURA MT-301 + MT-307 = MT,1006265,"Arandela Presion Acero Galv P/Torn 3/8""",6.0,UND,3.5,21.0
62,ESTRUCTURA MT-301 + MT-307 = MT,1006508,"Cruceta Acero Galv 8'-0""3"" X 3""",3.0,UND,2900.0,8700.0
63,ESTRUCTURA MT-301 + MT-307 = MT,1006601,"Fleje Galv 1-1/4"" X 1/4"" X 28'Orif 9/16""",6.0,UND,186.88,1121.28
64,ESTRUCTURA MT-301 + MT-307 = MT,1006694,Grapa Retencion 2/0 Awg A 4/0 Awg,3.0,UND,510.0,1530.0
65,ESTRUCTURA MT-301 + MT-307 = MT,1006840,"Perno Rosca Corrida Ac Galv 5/8"" X12""",3.0,UND,140.5,421.5
66,ESTRUCTURA MT-301 + MT-307 = MT,1007052,"Tornillo Hex Pas Ac Galv 3/8"" X 2""",6.0,UND,15.6,93.6
67,ESTRUCTURA MT-301 + MT-307 = MT,1007057,"Tornillo Hex Pas Ac Galv 5/8"" X 12""",1.0,UND,93.5,93.5
68,ESTRUCTURA MT-301 + MT-307 = MT,1007099,"Tuerca D/Ojo Ac Galv P/Tornillo 5/8""",4.0,UND,94.0,376.0
69,ESTRUCTURA MT-301 + MT-307 = MT,1007225,"Abrazadera Perno P/Tornillo 5/8""",1.0,UND,188.5,188.5
70,ESTRUCTURA MT-301 + MT-307 = MT,1007279,"Arandela Cuadrada 2""X2"" P/Tornillo 1/2""",1.0,UND,26.91,26.91
71,ESTRUCTURA MT-301 + MT-307 = MT,1008251,"Tornillo Maquina Ac Galv 1/2"" X 12""",2.0,UND,75.25,150.5
72,ESTRUCTURA FV-MT,1005963,"Cable Acero Galvanizadop/Retenida 3/8""",15.0,MTS,75.11,1126.65
73,ESTRUCTURA FV-MT,1006250,"Aran Plan Cua Ac Galv 21/4""X21/4"" D 5/8""",1.0,UND,27.5,27.5
