id,nombre,tipo
1,TE-IZADO DE POSTE HAV-300-9,POSTERIA
2,TE-IZADO DE POSTE HAV-300-10,POSTERIA
3,TE-IZADO DE POSTE HAV-500-10,POSTERIA
4,TE-IZADO DE POSTE HAV-500-12,POSTERIA
5,TE-IZADO DE POSTE HAV-500-14,POSTERIA
6,TE-IZADO DE POSTE HAV-800-12,POSTERIA
7,TE-IZADO DE POSTE HAV-800-14,POSTERIA
8,TE-IZADO DE POSTE HAV-800-10,POSTERIA
9,TE-IZADO DE POSTE HAV-800-15,POSTERIA
10,TE-IZADO POSTE M - 9 - CL5,POSTERIA
11,TE-IZADO POSTE M - 10 - CL5,POSTERIA
12,TE-IZADO POSTE M - 10 - CL3,POSTERIA
13,TE-IZADO POSTE M - 12 - CL3,POSTERIA
14,TE-IZADO POSTE M - 18 - CL5,POSTERIA
15,MCH-300-10,POSTERIA
16,MCH-300-9,POSTERIA
17,MCH-500-10,POSTERIA
18,MCH-500-12,POSTERIA
19,MCH-500-14,POSTERIA
20,MCH-800-12,POSTERIA
21,MCH-800-14,POSTERIA
22,TE-MONT 1Ø RED ANTIFRAUDE (MTA-101),ARMADOS TIPO PIN Y CAMPANA ANTIFRAUDE
23,TE-MONT 1Ø RED ANTIFRAUDE (MTA-102),ARMADOS TIPO PIN Y CAMPANA ANTIFRAUDE
24,TE-MONT 1Ø RED ANTIF(MTA-103)Nº(2/0-4/0),ARMADOS TIPO PIN Y CAMPANA ANTIFRAUDE
25,TE-MONT 1Ø RED ANTIF(MTA-103CC)Nº(2/0-4/0),ARMADOS TIPO PIN Y CAMPANA ANTIFRAUDE
26,TE-MONT 1Ø RED ANTIF (MTA-104)N(2/0-4/0),ARMADOS TIPO PIN Y CAMPANA ANTIFRAUDE
27,TE-MONT 1Ø RED ANTIF(MTA-105)Nº(2/0-4/0),ARMADOS TIPO PIN Y CAMPANA ANTIFRAUDE
28,TE-MONT 1Ø RED ANTIFRAUDE (MTA-106) (2/0-4/0),ARMADOS TIPO PIN Y CAMPANA ANTIFRAUDE
29,TE-MONT 1Ø RED ANTIFRAUDE (MTA-107),ARMADOS TIPO PIN Y CAMPANA ANTIFRAUDE
30,TE-MONT 1Ø RED ANTIFRAUDE (MTA-108),ARMADOS TIPO PIN Y CAMPANA ANTIFRAUDE
31,TE-MONT 3Ø RED ANTIFRAUDE (MTA-301),ARMADOS TIPO PIN Y CAMPANA ANTIFRAUDE
32,TE-MONT 3Ø RED ANTIF(MTA-302)Nº(2/0-4/0),ARMADOS TIPO PIN Y CAMPANA ANTIFRAUDE
33,TE-MONT 3Ø RED ANTIF(MTA-302)Nº(366-477),ARMADOS TIPO PIN Y CAMPANA ANTIFRAUDE
34,TE-MONT 3Ø RED ANTIF(MTA-303)Nº(2/0-4/0),ARMADOS TIPO PIN Y CAMPANA ANTIFRAUDE
35,TE-MONT 3Ø RED ANTIF(MTA-303)Nº(336-477),ARMADOS TIPO PIN Y CAMPANA ANTIFRAUDE
36,TE-MONT 3Ø RED ANTIF(MTA-303 CC)Nº(2/0-4/0),ARMADOS TIPO PIN Y CAMPANA ANTIFRAUDE
37,TE-MONT 3Ø RED ANTIF(MTA-304)Nº(2/0-4/0),ARMADOS TIPO PIN Y CAMPANA ANTIFRAUDE
38,TE-MONT 3Ø RED ANTIF(MTA-304)Nº(336-477),ARMADOS TIPO PIN Y CAMPANA ANTIFRAUDE
39,TE-MONT 3Ø RED ANTIF (MTA-305)Nº(2/0-4/0),ARMADOS TIPO PIN Y CAMPANA ANTIFRAUDE
40,TE-MONT 3Ø RED ANTIF(MTA-305)Nº(336-477),ARMADOS TIPO PIN Y CAMPANA ANTIFRAUDE
41,TE-MONT 3Ø RED ANTIF(MTA-306),ARMADOS TIPO PIN Y CAMPANA ANTIFRAUDE
42,TE-MONT 3Ø RED ANTIF (MTA-308)Nº(2/0-4/0),ARMADOS TIPO PIN Y CAMPANA ANTIFRAUDE
43,TE-MONT 3Ø RED ANTIF(MTA-308)Nº(336-477),ARMADOS TIPO PIN Y CAMPANA ANTIFRAUDE
44,TE-MONT (F1 - MT) Nº(2/0 - 4/0),ARMADOS TIPO PIN Y CAMPANA
45,TE-MONT (F1 -MT) Nº(336 -477),ARMADOS TIPO PIN Y CAMPANA
46,TE-MONT (F2- MT) Nº(2/0 - 4/0),ARMADOS TIPO PIN Y CAMPANA
47,TE-MONT (F2 - MT) Nº (336 - 477),ARMADOS TIPO PIN Y CAMPANA
48,TE-MONT (F3 - MT) Nº (2/0 - 4/0),ARMADOS TIPO PIN Y CAMPANA
49,TE-MONT (F3 - MT) Nº (336 - 477),ARMADOS TIPO PIN Y CAMPANA
50,TE-MONT FIN FLOTANTE (F5-MT)(4-1/0),ARMADOS TIPO PIN Y CAMPANA
51,TE-MONT FIN FLOTANTE (F5-MT)(2/0-4/0),ARMADOS TIPO PIN Y CAMPANA
52,TE-MONT FIN FLOTANTE (F5-MT)(336-477),ARMADOS TIPO PIN Y CAMPANA
53,TE-MONT FIN FLOTANTE (F5-MT)(2/0-4/0) Doble,ARMADOS TIPO LINE POST Y POLIMERICO
54,ALARGADERA ADICIONAL,USO GENERAL
55,TE-MONT ALINEAMIENTO BT (POSTE 10M-12M) (AL-BT),ARMADO BT
56,TE-MONT SUSPENSION BT (BT-102) (SU-BT),ARMADO BT
57,TE-MONT SUSPENSION BT EN PUNTA DE CRUCETA (SVAF-BT),ARMADO BT
58,TE-MONT SUSPENSION BT EN CRUCETA CON SOPORTE EN L (SV-BT),ARMADO BT
59,TE-MONT SUSPENSION BT EN CRUCETA DOBLE CON SOPORTE EN L (SV-BT2),ARMADO BT
60,TE-MONT DERIV BT A MED VANO (2/0-2/0),ARMADO BT
61,TE-MONT DERIV BT A MED VANO (4/0-4/0),ARMADO BT
62,F1-BT,ARMADO BT
63,F2-BT,ARMADO BT
