id,descripcion,precio,itbis,total
1,TRANSPORTE DE POSTE,10000.0,1800.0,11800.0
2,IZADO POSTE MADERA 35´ CL5,2700.0,486.0,3186.0
3,IZADO DE POSTE HAV-300-9,3000.0,540.0,3540.0
4,IZADO DE POSTE HAV-300-10,3000.0,540.0,3540.0
5,IZADO DE POSTE HAV-500-10,3000.0,540.0,3540.0
6,IZADO DE POSTE HAV-500-12,3000.0,540.0,3540.0
7,IZADO DE POSTE HAV-800-12,4000.0,720.0,4720.0
8,IZADO DE POSTE HAV-500-14,4000.0,720.0,4720.0
9,CIMENTACION EN POSTE <12M,3000.0,540.0,3540.0
10,"MONT 1Ø, FIN DE LINEA, Nº (MT-101) (2/0 A 4/0)",450.0,81.0,531.0
11,"MONT 1Ø, FIN DE LINEA, Nº (MT-102) (2/0 A 4/0)",450.0,81.0,531.0
12,"MONT 1Ø, FIN DE LINEA, Nº (MT-105) (2/0 A 4/0)",450.0,81.0,531.0
13,"MONT 1Ø, DOBLE TERMINAL, Nº (MT-106) (2/0 A 4/0)",450.0,81.0,531.0
14,"MONT 1Ø, ALINEAMIENTO EN VOLADIZO (MT-108)",750.0,135.0,885.0
15,"MONT 1Ø, LINEA CON ANG EN VOLADIZO (MT-109)",900.0,162.0,1062.0
16,"MONT 3Ø, ALINEAMIENTO (MT-301)",1500.0,270.0,1770.0
17,"MONT 3Ø, LINEA CON ANG DE 6º A 25º  (MT-302)",2200.0,396.0,2596.0
18,"MONT 3Ø,  ANG DE 61º A 90º,Nº (MT-305) (2/0 A 4/0)",2200.0,396.0,2596.0
19,"MONT 3Ø,  FIN DE LINEA , Nº (MT-307) (2/0 A 4/0)",2200.0,396.0,2596.0
20,"MONT 3Ø,  DOBLE TERMINAL, Nº (MT-316) (2/0 A 4/0)",2200.0,396.0,2596.0
21,"MONT 3Ø, ALINEAMIENTO EN VOLADIZO (MT-319)",1500.0,270.0,1770.0
22,"MONT 3Ø, ALIN EN VOLADIZO CRUCETA DE 6' (MT-321)",1500.0,270.0,1770.0
23,"MONT 3Ø, LINEA CON ANG EN VOLADIZO (MT-322)",2200.0,396.0,2596.0
24,"MONT 1Ø, RED ANTIFRAUDE (MTA-101)",1000.0,180.0,1180.0
25,"MONT 1Ø, RED ANTIFRAUDE (MTA-102)",2200.0,396.0,2596.0
26,"MONT 1Ø, RED ANTIFRAUDE, (MTA-105) Nº (2/0 A 4/0)",2200.0,396.0,2596.0
27,"MONT 1Ø, RED ANTIFRAUDE, (MTA-107)",2000.0,360.0,2360.0
28,"MONT 1Ø, RED ANTIFRAUDE, (MTA-108)",2200.0,396.0,2596.0
29,"MONT 3Ø, RED ANTIFRAUDE (MTA-301)",2200.0,396.0,2596.0
30,"MONT 3Ø, RED ANTIFRAUDE (MTA-302) Nº (2/0 A 4/0)",2200.0,396.0,2596.0
31,"MONT 3Ø, RED ANTIFRAUDE (MTA-303) Nº (2/0 A 4/0)",2200.0,396.0,2596.0
32,"MONT 3Ø, RED ANTIFRAUDE (MTA-305) Nº (2/0 A 4/0)",2200.0,396.0,2596.0
33,M  TENDIDO TRIF COND AAAC 2/0AWG,60.0,10.799999999999999,70.8
34,M  TENDIDO TRIF COND AAAC 4/0AWG,60.0,10.799999999999999,70.8
35,M DE TENDIDO MONOF COND AAAC 2/0AWG,35.0,6.3,41.3
36,M DE TENDIDO TRIPLEX 2/0,55.0,9.9,64.9
37,MONT PARA BANCO 3Ø > 50 KVA,4000.0,720.0,4720.0
38,MONT TRANSF TP 1Ø RECONST,3000.0,540.0,3540.0
39,MONTAJE PARARRAYO EN POSTE,350.0,63.0,413.0
40,MONTAJE PARARRAYO EN CRUCETA,350.0,63.0,413.0
41,MONT JUMPER 2/0 - 2/0,200.0,36.0,236.0
42,INSTAL JUMPER TRIPLEX  POSTE 1/0-1/0 AWG,300.0,54.0,354.0
43,CONEXIÓN AMOVIBLE COMPLETA PARA 2/0 AWG,200.0,36.0,236.0
44,MONT  VIENTO SIMPLE MT,2800.0,504.0,3304.0
45,MONT  VIENTO DOBLE MT,2800.0,504.0,3304.0
46,MONT  VIENTO SIMPLE BT,2800.0,504.0,3304.0
47,MONT  VIENTO VERTICAL POSTE-TIERRA,700.0,126.0,826.0
48,INSTALACION FIN DE LINEA BT,250.0,45.0,295.0
49,INSTALACION DOBLE TERMINAL BT,250.0,45.0,295.0
50,MONTAJE GRAPA DE SUSPENSION BT,250.0,45.0,295.0
51,INSTAL  ALINEAM. BT EN POSTE 9M,250.0,45.0,295.0
52,M TEND CABLE DE POT 1X35MM2 EN ZANJA,300.0,54.0,354.0
53,MONT TRANSF MONOF PAD MOUNT,4000.0,720.0,4720.0
54,INST SOPORTE TERM CABLE TRIFASICO,450.0,81.0,531.0
