item,codigo,descripcion,unidad,precio_igmelec,precio_grape,precio_bellon,precio_ochoa,precio_maenca,precio_transdeci
1,1004132,CABLE ACERO COBREADO DESNUDO #2 AWG 7 HI,M,185.16,200.07999999999998,,,,
2,1005306,LUMINARIA APS 240V 150W,UND,5400.0,4900.0,,,,
,1005307,LUMINARIA APS 240V 250W,,,,,,,
,1005401,POSTE MADERA 9M CLASE 5,,,,,,,
3,1005403,POSTE HORMIGON ARMADO VIB 300DAN 10.5M,UND,16000.0,,,,,
4,1005404,POSTE HORMIGON ARMADO VIB 300DAN 9M,UND,14000.0,,,,,
5,1005405,POSTE HORMIGON ARMADO VIB 500DAN 10.5M,UND,19500.0,,,,,
6,1005406,POSTE HORMIGON ARMADO VIB 500DAN 12M,UND,21000.0,,,,,
7,1005407,POSTE HORMIGON ARMADO VIB 500DAN 14M,UND,27000.0,,,,,
147,1005409,POSTE HORMIGON ARMADO VIB 800DAN 10M,UND,20000.0,,,,,
8,1005410,POSTE HORMIGON ARMADO VIB 800DAN 12M,UND,23000.0,,,,,
,1005411,POSTE HORMIGON ARMADO VIB 800DAN 14M,,,,,,,
,1005413,POSTE MADERA 10.5M CLASE 3,,,,,,,
,1005414,POSTE MADERA 10.5M CLASE 5,,,,,,,
,1005415,POSTE MADERA 12M CLASE 3,,,,,,,
9,1005473,TRANSF TP 1Ø RCO 7.2KV 25 KVA,UND,53000.0,,,,45000.0,46000.0
,1005478,TRANSF TP 1Ø CSP 7.2KV 75 KVA,,,,,,,
,1005481,TRANSF 1F BL TP 2B 25KVA 7200/120-240V,,,,,,,
,1005482,TRANSF 1F BL TP 2B 37.5KVA 7200/120-240V,,,,,,,
,1005483,TRANSF 1F BL TP 2B 50KVA 7200/120-240V,,,,,,,
,1005484,TRANSF 1F BL TP 2B 75KVA 7200/120-240V,,,,,,,
,1005499,TRANSF TP 1Ø CSP 7.2KV 25 KVA,,,,,,,
,1005502,TRANSF TP 1Ø CSP 7.2KV 50 KVA,,,,,,,
,1005503,"TORNILLO HEX PAS AC GALV 5/8"" X 12""",,,,,,,
10,1005510,TRANSF TP 1Ø RCO 7.2KV 37 KVA,UND,73200.0,,,,59000.0,58000.0
11,1005511,TRANSF TP 10 RCO 7.2KV 50 KVA,UND,76000.0,,,,63000.0,67000.0
12,1005516,TRANSF TP 1Ø RCO 7.2KV 75 KVA,UND,129000.0,,,,,
,1005533,CT De Baja Tensión,,,,,,,
,1005746,POSTE 60 CLASE III,,,,,,,
,1005753,POSTE METALICO CHAPA 300 DAN 9 M,,,,,,,
,1005754,"POSTE METALICO CHAPA 300 DAN 10,5 M",,,,,,,
,1005757,POSTE METALICO CHAPA 500 DAN 14  M.,,,,,,,
,1005763,POSTE HORMIGON ARMADO VIB 800DAN 15M,,,,,,,
13,1005947,ALAMBRE LIGADURA ALUMINIO,M,36.0,36.0,,,,
,1005962,"CABLE ACERO GALVANIZADO P/RETENIDA 1/2""",,,,,,,
14,1005963,"CABLE ACERO GALVANIZADO P/RETENIDA 3/8""",M,75.11,83.0,,,,
15,1005964,CABLE ALUMINIO 477MCM AISLAMIENTOXLP,M,213.2,383.0,,,,
,1005966,"CABLE CONCENTRICO AL 0,6KV 4/3 HILOS",,,,,,,
,1005990,Cemento para tuberia PVC,,,,,,,
,1005996,CONDUCTOR TRIPLEX 4/0 AWG - N4/0,,,,,,,
16,1005997,CONDUCTOR TRIPLEX 4/0 AWG - N2/0,M,311.4,342.0,,,,
17,1006004,CONDUCTOR AAAC 2/0 AWG ANAHEIM,M,84.78,89.0,,,,
18,1006005,CONDUCTOR AAAC 4/0 AWG ALLIANCE,M,98.56,116.0,,,,
,1006012,CONDUCTOR CU DESNUDO 7 HILOS #2 AWG,,,,,,,
,1006014,CONDUCTOR CU CONCENTRICO 4/3 AWG,,,,,,,
,1006015,CONDUCTOR CONCENTRICO 3XN§6 COBRE,,,,,,,
19,1006020,CONDUCTOR TRIPLEX 2/0 AWG - N2/0,M,275.8,288.0,,,,
20,1006022,"CONDULET 2""",UND,384.0,330.66,,,,
21,1006023,"CONDULET 3""",UND,1590.0,1382.0,,,,
,1006035,TAPE DE VINILO,,,,,,,
,1006036,"TARUGO PLASTICO 1/4"" X 1""",,,,,,,
,1006045,"TUBERIA FLEX LIQ TIGHT 2""",,,,,,,
,1006046,Tubería Liquid Tight de 1”,,,,,,,
,1006062,"TUBERIA FLEX LIQ TIGHT 3""",,,,,,,
,1006075,Cable De Control De 6 Hilos De # 12 AWG,,,,,,,
,1006089,CONDUCTOR CU CONCENTRICO 10/3 AWG.,,,,,,,
,1006104,CONDUCTOR AAAC 465 MCM CAIRO,,,,,,,
,1006191,CONDUCTOR CU CONCENTRICO 10/2 AWG,,,,,,,
,1006202,CONDUCTOR CU CONCENTRICO 8/3 AWG,,,,,,,
,1006213,"ABRAZADERA EMT TIPO OMEGA 3/4""",,,,,,,
22,1006220,TERMINAL COMPRESION TIPO PIN 2/0,UND,384.25,325.0,,,,
23,1006221,TERMINAL COMPRESION TIPO PIN 477 MCM,UND,1260.0,955.0,,,,
,1006225,"Adaptador macho PVC de 1""",,,,,,,
24,1006230,AISLADOR POLIMÉRICO T/SUSPENSIÓN 13.2KV,UND,515.0,490.0,,,,
,1006234,AISLADOR PORC.TIPO SUSPENSION ANSI 52-1,,,,,,,
