id,codigo_material,descripcion,total
1,1004132,CABLE ACERO COBREADO DESNUDO #2 AWG 7 HI,0
2,1005306,LUMINARIA APS 240V 150W,0
3,1005307,LUMINARIA APS 240V 250W,0
4,1005401,POSTE MADERA 9M CLASE 5,0
5,1005403,POSTE HORMIGON ARMADO VIB 300DAN 10.5M,0
6,1005404,POSTE HORMIGON ARMADO VIB 300DAN 9M,0
7,1005405,POSTE HORMIGON ARMADO VIB 500DAN 10.5M,0
8,1005406,POSTE HORMIGON ARMADO VIB 500DAN 12M,0
9,1005407,POSTE HORMIGON ARMADO VIB 500DAN 14M,0
10,1005409,POSTE HORMIGON ARMADO VIB 800DAN 10.5M,0
11,1005410,POSTE HORMIGON ARMADO VIB 800DAN 12M,0
12,1005411,POSTE HORMIGON ARMADO VIB 800DAN 14M,0
13,1005413,POSTE MADERA 10.5M CLASE 3,0
14,1005414,POSTE MADERA 10.5M CLASE 5,0
15,1005415,POSTE MADERA 12M CLASE 3,0
16,1005473,TRANSF TP 1Ø RCO 7.2KV 25 KVA,0
17,1005478,TRANSF TP 1Ø CSP 7.2KV 75 KVA,1
18,1005481,TRANSF 1F BL TP 2B 25KVA 7200/120-240V,0
19,1005482,TRANSF 1F BL TP 2B 37.5KVA 7200/120-240V,0
20,1005483,TRANSF 1F BL TP 2B 50KVA 7200/120-240V,0
21,1005484,TRANSF 1F BL TP 2B 75KVA 7200/120-240V,0
22,1005499,TRANSF TP 1Ø CSP 7.2KV 25 KVA,0
23,1005502,TRANSF TP 1Ø CSP 7.2KV 50 KVA,0
24,1005503,"TORNILLO HEX PAS AC GALV 5/8"" X 12""",2
25,1005510,TRANSF TP 1Ø RCO 7.2KV 37 KVA,0
26,1005511,TRANSF TP 1Ø RCO 7.2KV 50 KVA,0
27,1005516,TRANSF TP 1Ø RCO 7.2KV 75 KVA,0
28,1005533,CT De Baja Tensión,0
29,1005746,POSTE 60 CLASE III,0
30,1005753,POSTE METALICO CHAPA 300 DAN 9 M,0
31,1005754,"POSTE METALICO CHAPA 300 DAN 10,5 M",0
32,1005757,POSTE METALICO CHAPA 500 DAN 14  M.,0
33,1005763,POSTE HORMIGON ARMADO VIB 800DAN 15M,0
34,1005947,ALAMBRE LIGADURAALUMINIO,0
35,1005962,"CABLE ACERO GALVANIZADO P/RETENIDA 1/2""",0
36,1005963,"CABLE ACERO GALVANIZADOP/RETENIDA 3/8""",0
37,1005964,CABLE ALUMINIO 477MCM AISLAMIENTOXLP,0
38,1005966,"CABLE CONCENTRICO AL 0,6KV 4/3 HILOS",0
39,1005990,Cemento para tuberia PVC,0
40,1005996,CONDUCTOR TRIPLEX 4/0 AWG - N4/0,0
41,1005997,CONDUCTOR TRIPLEX 4/0 AWG - N2/0,0
42,1006004,CONDUCTOR AAAC 2/0 AWG ANAHEIM,0
43,1006005,CONDUCTOR AAAC 4/0 AWG ALLIANCE,0
44,1006012,CONDUCTOR CU DESNUDO 7 HILOS #2 AWG,0
45,1006014,CONDUCTOR CU CONCENTRICO 4/3 AWG,0
46,1006015,CONDUCTOR CONCENTRICO 3XN§6 COBRE,0
47,1006020,CONDUCTOR TRIPLEX 2/0 AWG - N2/0,0
48,1006022,"CONDULET 2""",0
49,1006023,"CONDULET 3""",0
50,1006035,TAPE DE VINILO,0
51,1006036,"TARUGO PLASTICO 1/4"" X 1""",0
52,1006045,"TUBERIA FLEX LIQ TIGHT 2""",0
53,1006046,Tubería Liquid Tight de 1”,0
54,1006062,"TUBERIA FLEX LIQ TIGHT 3""",0
55,1006075,Cable De Control De 6 Hilos De # 12 AWG,0
56,1006089,CONDUCTOR CU CONCENTRICO 10/3 AWG.,0
57,1006104,CONDUCTOR AAAC 465 MCM CAIRO,0
58,1006191,CONDUCTOR CU CONCENTRICO 10/2 AWG,0
59,1006202,CONDUCTOR CU CONCENTRICO 8/3 AWG,0
60,1006213,"ABRAZADERA EMT TIPO OMEGA 3/4""",0
61,1006220,TERMINAL COMPRESION TIPO PIN 2/0,0
62,1006221,TERMINAL COMPRESION TIPO PIN 477 MCM,0
63,1006225,"Adaptador macho PVC de 1""",0
64,1006230,AISLADOR COMPOSITE T/SUSPENSION 13.2KV,0
65,1006234,AISLADOR PORC.TIPO SUSPENSION ANSI 52-1,0
66,1006236,AISLADOR PORC.TIPO CARRETE ANSI 53-2,0
67,1006238,AISLADOR PORC.TIPO ESPIGA ANSI 55-5,0
68,1006241,AISLADOR PORC.TIPO LINE POST ANSI 57-1,0
69,1006242,AISLADOR PORC.TIPO LINE POST ANSI 57-3,0
70,1006250,"ARAN PLAN CUA AC GALV 21/4""X21/4"" D 5/8""",2
71,1006262,"ARANDELA PRESION ACERO GALV P/TORN 1/2""",0
72,1006264,"ARANDELA PRESION ACERO GALV P/TORN 5/8""",2
73,1006265,"ARANDELA PRESION ACERO GALV P/TORN 3/8""",0
74,1006266,ARO DE SEGURIDAD P/ MEDIDOR TIPO SOCKET,0
75,1006289,"BASE CIRCULAR DE 1""",0
76,1006323,BOMBILLO SODIO 150W,0
77,1006324,BOMBILLO APS 250W,0
78,1006335,BRAZO LAMP/ACERO GALVANIZADO 12',0
79,1006336,BRAZO LAMP/ACERO GALVANIZADO 6',0
80,1006345,BRIDA DE SUJECCION HASTA 50 MM,0
81,1006351,CAJA AISLANTECONECTOR CUÑA HASTA 300MCM,0
82,1006352,CAJA AISLANTECONECTOR CUÑA HASTA 556MCM,0
83,1006366,CELULA FOTOELECTRICA 240V/1000W,0
84,1006382,COLLAR AMARRE EN FACHADA,0
85,1006395,"CONECT A PRUEBA D/AGUA P/C. 6,3 ROSC 1""",0
86,1006396,"CONECT A PRUEBA D/AGUA P/C. 8,2 ROSC 1""",0
87,1006398,CONECTOR AMOVIBLE P/ESTRIBO,0
88,1006423,CONECTOR CUÑA PRESION 4/0AWG - #2CU,0
89,1006424,CONECTOR CUÑA PRESION 4/0AWG - 4/0AWG,0
90,1006428,CONECTOR CUÑA PRESION 477MCM - 4/0AWG,0
91,1006429,CONECTOR CUÑA PRESION 477MCM - 477MCM,0
92,1006430,CONECTOR CUÑA C/ESTRIBO (1/0 # 2/0) AWG,0
93,1006432,CONECTOR CUÑA PRESION CON ESTRIBO 4/0AWG,0
94,1006433,CONECTOR CUÑA C/ESTRIBO (465.4#477) MCM,0
95,1006434,"CONECTOR CURVO LIQUIDTAIGHT 2""",0
96,1006435,"CONECTOR CURVO LIQUIDTAIGHT 3""",0
97,1006436,Conector curvo para tubería liquid tight 1”,0
98,1006451,CONECTOR CUÑA PRESION P.T. AWG 2/0 - # 2,0
99,1006456,CONECTOR PERFORACION 1/0-4/0 AWG P-35,0
100,1006483,Conector recto para tubería liquid tight 1”,0
101,1006493,CONO ANCLAJE 500MM,0
102,1006506,"CRUCETA ACERO GALV 5'-7"" 3"" X 3""",0
103,1006507,"CRUCETA ACERO GALV 5'-7"" 3""X3""X1/4"" 45°",0
104,1006508,"CRUCETA ACERO GALV 8'-0""3"" X 3""",0
105,1006509,"CRUCETA ACERO GALV 8-0"" 3""X3""X1/4"" 45°",0
106,1006559,MANGA EMPALME PLENA TRACCIÓN 4/0 AWG,0
107,1006579,"ESPIGA ACERO GAL VASTAGO 3/4"" X 7 3/4""",0
108,1006580,"ESPIGA ACERO GALV 20"" P/INST CZA POSTE",0
109,1006583,"ESPIGA C/MANGUITO ADAPT 5/8""X1"" L=51/4""",0
110,1006592,ETIQUETA P/CT TP,0
111,1006594,PLETINA FIJ ANG GUARDACAB P/TIRANTE 5/8,0
112,1006595,"FLEJE AC GALV 1-3/4""X1-3/4""X3/16""X84""",0
113,1006601,"FLEJE GALV 1-1/4"" X 1/4"" X 28'ORIF 9/16""",0
114,1006602,"FLEJE GALV 13/4""X13/4""X3/16""X60""ORF9/16""",0
115,1006605,"FLEJE VERTICAL11/2""X11/2""X3/16""X35-1/2""",0
116,1006645,FUSIBLE EXPULSIÓN 10.4 A TIPO D,1
117,1006654,FUSIBLE EXPULSIÓN 3.5 A TIPO D,0
118,1006659,FUSIBLE EXPULSIÓN 5.2 A TIPO D,0
119,1006662,FUSIBLE EXPULSIÓN 7 A TIPO D,0
120,1006693,GRAPA RETENCION 4AWG A 1/0 AWG,0
121,1006694,GRAPA RETENCION 2/0 AWG A 4/0 AWG,0
122,1006695,GRAPA RETENCION 336 MCM A 477 MCM,0
123,1006696,GRAPA CONEXION DOBLE S/TOR,1
124,1006710,GRAPA SUSPENSION AL P/COND 4/0-266 AWG,0
125,1006718,"GUARDACABOS P/RETENCION AC GALV 1/2""",0
126,1006721,"HEBILLA P/FLEJE 10MM 1/2""",0
127,1006723,TUBO D/ANCLAJE,0
128,1006802,MANGA EMPALME PLENA TRACCIÓN # 2 AWG,0
129,1006804,MANGA EMPALME PLENA TRACCIÓN  2/0 AWG,0
130,1006805,MANGA EMPALME PLENA TRACCIÓN 266MCM,0
131,1006806,MANGA EMPALME PLENA TRACCIÓN 477MCM,0
132,1006807,MANGA EMPALME PLENA TRACCIÓN 1/0 AWG,0
133,1006838,PERNO CORTO GALVANIZADO ANSI 57-1/3,0
134,1006840,"PERNO ROSCA CORRIDA AC GALV 5/8"" X12""",0
135,1006841,"PERNO ROSCA CORRIDA AC GALV 5/8""X14'",0
136,1006842,"PERNO ROSCA CORRIDA AC GALV 5/8"" X16""",0
137,1006846,"PERNO ROSCA CORRIDA AC GALV 5/8"" X6""",0
138,1006849,PICA PUESTA A TIERRA 5/8' X 8',0
139,1006861,PINZA RETENCION DOBLE 6/3AWG - 8/2AWG,0
140,1006910,"RETENCION PREF TERM CABLE AC GALV 1/2""",0
141,1006922,"SOPORTE EN CRUCETA DOB UND AC GALV ¼""",0
142,1006926,SOPORTE DE ANCLAJE EN FACHADA,0
143,1006933,SOPORTE P/CAB AISL 1F AC INOX 2 COLLARES,0
144,1006934,SOPORTE P/CAB AISL 3F AC INOX 3 COLLARES,0
145,1006937,SOPORTE TIPO HORQILLAP/AISL T/CARRETE,0
146,1006938,"SOPORTE TIPO L AC GALV ¼""",0
147,1006939,"SOPORTE TUBERIA ANCLAJE 2""",0
148,1006940,SOPORTE DE ACERO PARA AISLADOR RIGIDO EN CABEZA DE POSTE,0
149,1006982,TERMINAL COMPRESION TIPO PIN 4/0,0
150,1007009,Terminal De Ojo cerrado 10-12 AWG,0
151,1007014,RETENCION TERM PREFORMADO CABLE AC 3/8,0
152,1007026,"TORNILLO CABEZA HEXAGONAL 1/2"" X 2""",0
153,1007037,"TORNILLO CABEZA HEXAGONAL 5/8"" X 2""",0
154,1007039,"TORNILLOCABEZA HEXAGONAL 5/8"" X 3""",0
155,1007052,"TORNILLO HEX PAS AC GALV 3/8"" X 2""",0
156,1007057,"TORNILLO HEX PAS AC GALV 5/8"" X 12""",0
157,1007058,"TORNILLO HEX PAS AC GALV 5/8"" X 14""",0
158,1007074,"TORNILLOTIRAFONDO 1"" X 10""",0
159,1007077,TORNILLO TIRAFONDO 1 ½” X 3/16” No 10,0
160,1007082,"TUBO ABIERTO SEÑALIZACIÓNY PROT 2"" X 8""",0
161,1007085,TUBO Y BASE CORTACIRCUITO 15KV 100 AMPS,0
162,1007086,"TUBO PVC DIAMETRO 1/2""",0
163,1007090,"Tubo PVC DE 1""X 19'",0
164,1007094,"TUERCA CAB HEX AC GALV P/TORNILLO 5/8""",1
165,1007096,"TUERCA GUARDA CABO RECTO P/TOR 5/8""",0
166,1007097,"TUERCA HEXAGONALACERO GALVANIZADO 1/2""",0
167,1007099,"TUERCA D/OJO AC GALV P/TORNILLO 5/8""",0
168,1007105,"VARILLAANCLAJE DOBLE 3/4"" X 8""",0
169,1007106,"VARILLAANCLAJE SIMPLE 3/4"" X 8""",0
170,1007200,"TORNILLO MAQUINA 1/2"" X 2""",0
171,1007223,"ABRAZADERA CONTRA PRESION P/TUBO ANCL 2""",0
172,1007225,"ABRAZADERA PERNO P/TORNILLO 5/8""",0
173,1007276,PARARRAYO 10 KV OXIDO METALICO,0
174,1007278,"ARANDELA CUADRADA 3"" X 3""P/TORNILLO",0
175,1007279,"ARANDELA CUADRADA 2""X2"" P/TORNILLO 1/2""",0
176,1007282,"TORNILLO ESP ROSCA CORRIDA 1/2"" X12""",0
177,1007290,"TORNILLO P/AISLADOR T/CARRETE 5/8"" X 18""",0
178,1007306,CONECTOR CUÑA PRESION 4/0 AWG # 2/0 AWG,0
179,1007309,CONECTOR CUÑA PRESION 2/0 AWG # 2/0 AWG,0
180,1007311,CONECTOR CUÑA PRESION 2/0 AWG # 2,0
181,1007318,TUBO Y BASE CORTACIRCUITO 15KV 200 AMPS,0
182,1007320,CONECTOR CUÑA PRESION 477 MCM - 2/0 AWG,0
183,1007371,SOPORTE PARA TRIPLEX EN CRUCETA,0
184,1007409,PORTA AISLADOR Y CODILLO,0
185,1007451,CAJA DERIVACION 12 ACOMETIDAS,0
186,1007635,"CONECTOR CURVO LIQUIDTAIGHT 3""",0
187,1007841,SOPORTE CAJA DERIVACION,0
188,1008100,Sello De Seguridad Tipo Pin,0
189,1008118,TRANSF TP 1Ø CSP 7.2KV 37 KVA,0
190,1008121,POSTE METALICO CHAPA 500 DAN 12 M,0
191,1008122,POSTE METALICO METAL 500 DAN 10  M.,0
192,1008123,POSTE METALICO CHAPA 800-12,0
193,1008124,POSTE METALICO CHAPA 800-14,0
194,1008249,"FLEJE 10 X 0,4",0
195,1008251,"TORNILLO MAQUINA AC GALV 1/2"" X 12""",0
196,1008683,TRANSF BL TP 1Ø CSP 7.2KV 25 KVA,0
197,1008684,TRANSF BL TP 1Ø CSP 7.2KV 37 KVA,0
198,1008685,TRANSF BL TP 1Ø CSP 7.2KV 50 KVA,0
199,1008686,TRANSF BL TP 1Ø CSP 7.2KV 75 KVA,0
200,1008812,Base Circular Para Medidor 4s,0
201,1008904,AISLADOR POLIMÉRICO TIPO SUSPENSIÓN 35k,0
202,1009443,CONDUCTOR CONCENTRICO DE AL 6 X 3 AWG,0
203,1009444,CONDUCTOR CONCENTRICO DE AL 8 X 2 AWG,0
204,1009465,"Medidor Res. tipo Socket, Básico, 240V, CL 20, FORMA 4S",0
