id,estructura,codigo_material,descripcion,cantidad,total_uso
1,HAV-300-09,1005404,POSTE HORMIGON ARMADO VIB 300DAN 9M,1.0,0.0
2,HAV-300-10,1005403,POSTE HORMIGON ARMADO VIB 300DAN 10.5M,1.0,0.0
3,HAV-500-10,1005405,POSTE HORMIGON ARMADO VIB 500DAN 10.5M,1.0,0.0
4,HAV-500-12,1005406,POSTE HORMIGON ARMADO VIB 500DAN 12M,1.0,0.0
5,HAV-500-14,1005407,POSTE HORMIGON ARMADO VIB 500DAN 14M,1.0,0.0
6,HAV-800-12,1005410,POSTE HORMIGON ARMADO VIB 800DAN 12M,1.0,0.0
7,HAV-800-14,1005411,POSTE HORMIGON ARMADO VIB 800DAN 14M,1.0,0.0
8,HAV-800-10,1005409,POSTE HORMIGON ARMADO VIB 800DAN 10.5M,1.0,0.0
9,HAV-800-15,1005763,POSTE HORMIGON ARMADO VIB 800DAN 15M,1.0,0.0
10,M - 9 - CL5,1005401,POSTE MADERA 9M CLASE 5,1.0,0.0
11,M - 10 - CL5,1005414,POSTE MADERA 10.5M CLASE 5,1.0,0.0
12,M - 10 - CL3,1005413,POSTE MADERA 10.5M CLASE 3,1.0,0.0
13,M - 12 - CL3,1005415,POSTE MADERA 12M CLASE 3,1.0,0.0
14,M - 18 - CL5,1005746,POSTE 60 CLASE III,1.0,0.0
15,MCH-300-10,1005754,"POSTE METALICO CHAPA 300 DAN 10,5 M",1.0,0.0
16,MCH-300-9,1005753,POSTE METALICO CHAPA 300 DAN 9 M,1.0,0.0
17,MCH-500-10,1008122,POSTE METALICO METAL 500 DAN 10  M.,1.0,0.0
18,MCH-500-12,1008121,POSTE METALICO CHAPA 500 DAN 12 M,1.0,0.0
19,MCH-500-14,1005757,POSTE METALICO CHAPA 500 DAN 14  M.,1.0,0.0
20,MCH-800-12,1008123,POSTE METALICO CHAPA 800-12,1.0,0.0
21,MCH-800-14,1008124,POSTE METALICO CHAPA 800-14,1.0,0.0
22,MTA-101 (55-5),1007039,"TORNILLOCABEZA HEXAGONAL 5/8"" X 3""",0.0,0.0
23,MTA-101 (55-5),1006579,"ESPIGA ACERO GAL VASTAGO 3/4"" X 7 3/4""",2.0,0.0
24,MTA-101 (55-5),1006696,GRAPA CONEXION DOBLE S/TOR,0.0,0.0
25,MTA-101 (55-5),1005947,ALAMBRE LIGADURAALUMINIO,2.0,0.0
26,MTA-101 (55-5),1006250,"ARAN PLAN CUA AC GALV 21/4""X21/4"" D 5/8""",2.0,0.0
27,MTA-101 (55-5),1006262,"ARANDELA PRESION ACERO GALV P/TORN 1/2""",1.0,0.0
28,MTA-101 (55-5),1006238,AISLADOR PORC.TIPO ESPIGA ANSI 55-5,2.0,0.0
29,MTA-101 (55-5),1006506,"CRUCETA ACERO GALV 5'-7"" 3"" X 3""",1.0,0.0
30,MTA-101 (55-5),1006602,"FLEJE GALV 13/4""X13/4""X3/16""X60""ORF9/16""",1.0,0.0
31,MTA-101 (55-5),1007057,"TORNILLO HEX PAS AC GALV 5/8"" X 12""",2.0,0.0
32,MTA-101 (55-5),1007200,"TORNILLO MAQUINA 1/2"" X 2""",1.0,0.0
33,MTA-101 (55-5),1006264,"ARANDELA PRESION ACERO GALV P/TORN 5/8""",2.0,0.0
34,MTA-101 (57-1),1007039,"TORNILLOCABEZA HEXAGONAL 5/8"" X 3""",0.0,0.0
35,MTA-101 (57-1),1006838,PERNO CORTO GALVANIZADO ANSI 57-1/3,2.0,0.0
36,MTA-101 (57-1),1006696,GRAPA CONEXION DOBLE S/TOR,0.0,0.0
37,MTA-101 (57-1),1005947,ALAMBRE LIGADURAALUMINIO,2.0,0.0
38,MTA-101 (57-1),1006250,"ARAN PLAN CUA AC GALV 21/4""X21/4"" D 5/8""",2.0,0.0
39,MTA-101 (57-1),1006262,"ARANDELA PRESION ACERO GALV P/TORN 1/2""",1.0,0.0
40,MTA-101 (57-1),1006241,AISLADOR PORC.TIPO LINE POST ANSI 57-1,2.0,0.0
41,MTA-101 (57-1),1006506,"CRUCETA ACERO GALV 5'-7"" 3"" X 3""",1.0,0.0
42,MTA-101 (57-1),1006602,"FLEJE GALV 13/4""X13/4""X3/16""X60""ORF9/16""",1.0,0.0
43,MTA-101 (57-1),1007057,"TORNILLO HEX PAS AC GALV 5/8"" X 12""",2.0,0.0
44,MTA-101 (57-1),1007200,"TORNILLO MAQUINA 1/2"" X 2""",1.0,0.0
45,MTA-101 (57-1),1006264,"ARANDELA PRESION ACERO GALV P/TORN 5/8""",2.0,0.0
46,MTA-102 (55-5),1007094,"TUERCA CAB HEX AC GALV P/TORNILLO 5/8""",0.0,0.0
47,MTA-102 (55-5),1006840,"PERNO ROSCA CORRIDA AC GALV 5/8"" X12""",2.0,0.0
48,MTA-102 (55-5),1005947,ALAMBRE LIGADURAALUMINIO,4.0,0.0
49,MTA-102 (55-5),1006262,"ARANDELA PRESION ACERO GALV P/TORN 1/2""",6.0,0.0
50,MTA-102 (55-5),1007057,"TORNILLO HEX PAS AC GALV 5/8"" X 12""",1.0,0.0
51,MTA-102 (55-5),1006264,"ARANDELA PRESION ACERO GALV P/TORN 5/8""",7.0,0.0
52,MTA-102 (55-5),1006602,"FLEJE GALV 13/4""X13/4""X3/16""X60""ORF9/16""",1.0,0.0
53,MTA-102 (55-5),1006506,"CRUCETA ACERO GALV 5'-7"" 3"" X 3""",2.0,0.0
54,MTA-102 (55-5),1007282,"TORNILLO ESP ROSCA CORRIDA 1/2"" X12""",1.0,0.0
55,MTA-102 (55-5),1006250,"ARAN PLAN CUA AC GALV 21/4""X21/4"" D 5/8""",1.0,0.0
56,MTA-102 (55-5),1006579,"ESPIGA ACERO GAL VASTAGO 3/4"" X 7 3/4""",4.0,0.0
57,MTA-102 (55-5),1006238,AISLADOR PORC.TIPO ESPIGA ANSI 55-5,4.0,0.0
58,MTA-102 (57-1),1007094,"TUERCA CAB HEX AC GALV P/TORNILLO 5/8""",0.0,0.0
59,MTA-102 (57-1),1006840,"PERNO ROSCA CORRIDA AC GALV 5/8"" X12""",2.0,0.0
60,MTA-102 (57-1),1005947,ALAMBRE LIGADURAALUMINIO,4.0,0.0
61,MTA-102 (57-1),1006262,"ARANDELA PRESION ACERO GALV P/TORN 1/2""",6.0,0.0
62,MTA-102 (57-1),1006264,"ARANDELA PRESION ACERO GALV P/TORN 5/8""",7.0,0.0
63,MTA-102 (57-1),1006602,"FLEJE GALV 13/4""X13/4""X3/16""X60""ORF9/16""",1.0,0.0
64,MTA-102 (57-1),1007057,"TORNILLO HEX PAS AC GALV 5/8"" X 12""",1.0,0.0
65,MTA-102 (57-1),1006506,"CRUCETA ACERO GALV 5'-7"" 3"" X 3""",2.0,0.0
66,MTA-102 (57-1),1007282,"TORNILLO ESP ROSCA CORRIDA 1/2"" X12""",1.0,0.0
67,MTA-102 (57-1),1006250,"ARAN PLAN CUA AC GALV 21/4""X21/4"" D 5/8""",1.0,0.0
68,MTA-102 (57-1),1006838,PERNO CORTO GALVANIZADO ANSI 57-1/3,4.0,0.0
69,MTA-102 (57-1),1006241,AISLADOR PORC.TIPO LINE POST ANSI 57-1,4.0,0.0
70,MTA-103 (55-5),1006694,GRAPA RETENCION 2/0 AWG A 4/0 AWG,4.0,0.0
71,MTA-103 (55-5),1006262,"ARANDELA PRESION ACERO GALV P/TORN 1/2""",1.0,0.0
72,MTA-103 (55-5),1007094,"TUERCA CAB HEX AC GALV P/TORNILLO 5/8""",0.0,0.0
73,MTA-103 (55-5),1006696,GRAPA CONEXION DOBLE S/TOR,0.0,0.0
74,MTA-103 (55-5),1006238,AISLADOR PORC.TIPO ESPIGA ANSI 55-5,2.0,0.0
75,MTA-103 (55-5),1006579,"ESPIGA ACERO GAL VASTAGO 3/4"" X 7 3/4""",2.0,0.0
76,MTA-103 (55-5),1006234,AISLADOR PORC.TIPO SUSPENSION ANSI 52-1,4.0,0.0
77,MTA-103 (55-5),1007099,"TUERCA D/OJO AC GALV P/TORNILLO 5/8""",4.0,0.0
78,MTA-103 (55-5),1007057,"TORNILLO HEX PAS AC GALV 5/8"" X 12""",0.0,0.0
